Recorded Date,External Data Reference,Which areas of content would you like to see the FT cover more?,Q7 - Topics,"Overall, how would you rate our journalism?","How would you rate the FT on the following? - Data / Visual Journalism (e.g. charts & graphs)



1/7","How would you rate the FT on the following? - Videos



2/7","How would you rate the FT on the following? - Podcasts



3/7","How would you rate the FT on the following? - Newsletters



4/7","How would you rate the FT on the following? - Live Blogs



5/7","How would you rate the FT on the following? - Longform (The Big read)



6/7","How would you rate the FT on the following? - Live events, either online or in-person (FT Live)



7/7","How useful do you find the FT's coverage on the following specialist subjects? - Mergers & Acquisitions



1/7","How useful do you find the FT's coverage on the following specialist subjects? - Environmental, Social, and Corporate Governance



2/7","How useful do you find the FT's coverage on the following specialist subjects? - Trade



3/7","How useful do you find the FT's coverage on the following specialist subjects? - Climate & Business



4/7","How useful do you find the FT's coverage on the following specialist subjects? - Energy



5/7","How useful do you find the FT's coverage on the following specialist subjects? - Asian Tech



6/7","How useful do you find the FT's coverage on the following specialist subjects? - The Business of Sport



7/7"
16/09/2021 10:27:45,97bf9340-d8da-44ad-ba86-4d35c8c38b7d,,,,,,,,,,,,,,,,,
16/09/2021 10:25:51,7536a661-0ca9-4dde-994f-dd466a19c4e6,,,4,,,,,,,,,,,,,,
16/09/2021 09:49:26,b6745d04-dce5-481e-942c-a9bc416d932c,,,,,,,,,,,,,,,,,
16/09/2021 09:36:41,78630ba7-3b86-462e-9162-fb43ed7481f6,,,,,,,,,,,,,,,,,
16/09/2021 09:13:07,73ee8a74-d954-48cd-b4ca-23fef16d115f,Asian business,Unknown,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,3,I haven't encountered / do not use these,3,,Moderately useful,Moderately useful,Moderately useful,Very useful,Very useful,Moderately useful,I'm not interested in this content
16/09/2021 09:13:07,bdfce3a2-a5e2-49f3-881d-07ff9f277ef7,,,4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,5 - Excellent,,I'm not interested in this content,Very useful,Very useful,Very useful,Very useful,Slightly useful,Very useful
16/09/2021 09:12:10,2cf90719-eb8a-4d38-90fe-e2c8945f3a52,,,,,,,,,,,,,,,,,
16/09/2021 09:03:26,fe0dd2cb-be44-44c5-9c47-f665902d67e1,,,,,,,,,,,,,,,,,
16/09/2021 08:53:49,8c35fcd5-2682-4335-8272-256d191c7ff6,,,,,,,,,,,,,,,,,
16/09/2021 08:39:05,9a2532fd-089c-4ef6-ac4a-563fe5856e6c,,,,,,,,,,,,,,,,,
16/09/2021 08:38:47,7213590a-e308-4f24-b843-dcd3276b2b30,,,,,,,,,,,,,,,,,
16/09/2021 08:37:08,64905042-49f8-4aba-ae53-792a661a2cba,,,,,,,,,,,,,,,,,
16/09/2021 08:34:42,9de543d5-2947-45e4-9d94-df2e84abb77c,,,,,,,,,,,,,,,,,
14/09/2021 21:22:37,9e41a609-f2ec-42f2-ba31-30796fe9c9ac,Fine as it is.,Unknown,5 - Excellent,5 - Excellent,,,,,,,,,,,,,Very useful
14/09/2021 20:58:02,53a20384-6440-4ecb-9437-c1825b6f4206,"Real Estate Markets.....Residential and Commercial,Music","Financial markets,Music",5 - Excellent,3,3,4,3,3,5 - Excellent,,Moderately useful,Moderately useful,Very useful,Very useful,Slightly useful,Slightly useful,Very useful
14/09/2021 16:38:49,54f71ddb-7ebb-4a81-bff0-cbc66b8c0d6e,Implications of 'globalisation',Unknown,5 - Excellent,4,5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,,Slightly useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very useful
14/09/2021 15:48:07,bfd8fd1e-0d70-4578-affb-8d74cb147a3c,Think you cover all the main areas!,Unknown,4,5 - Excellent,4,I haven't encountered / do not use these,4,3,4,,I'm not interested in this content,Very useful,Moderately useful,Very useful,Very useful,I'm not interested in this content,Moderately useful
14/09/2021 13:52:25,705d77b2-c6b9-4eaf-83bf-fe4abfb02d3c,,,5 - Excellent,4,4,I haven't encountered / do not use these,4,I haven't encountered / do not use these,4,,I'm not interested in this content,Very useful,Very useful,Very useful,Slightly useful,Slightly useful,Moderately useful
13/09/2021 18:47:39,5f508b5a-2146-4a9b-8a58-03a7d81047d7,,,5 - Excellent,4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,4,,I'm not interested in this content,Very useful,I'm not interested in this content,Very useful,Very useful,I'm not interested in this content,Very useful
13/09/2021 18:35:58,686845f2-2749-4980-ad79-312a6bc130c1,,,4,4,3,I haven't encountered / do not use these,4,I haven't encountered / do not use these,5 - Excellent,,Moderately useful,Very useful,Extremely useful,Moderately useful,Moderately useful,Moderately useful,Slightly useful
13/09/2021 17:52:06,414f3bc2-e253-44a7-841b-0ff1d17ec927,"menswear, style, fashion, travel, sport, arts, books, cinema, tv, media","Fashion,Sport,Media,Travel & Leisure,Style,Arts",4,4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,3,4,,Very useful,Moderately useful,Very useful,Moderately useful,Moderately useful,Moderately useful,Very useful
13/09/2021 12:48:40,2f61df37-21ed-419a-8d3c-c4a75ca092ab,Freedom of speech issues and fact-checking some of the claims that are put forward by the woke.,Unknown,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,,Slightly useful,Slightly useful,Slightly useful,Slightly useful,Slightly useful,Slightly useful,Slightly useful
13/09/2021 11:08:46,ac654395-066b-4979-9a6e-bc19b99ac3c9,Political economic discussion and analysis .. although you do do some of it already!,"Economy,Politics",5 - Excellent,4,,,,,,,Slightly useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Slightly useful,Moderately useful
13/09/2021 08:43:21,42b335d4-a874-4faf-94ce-c330df338a81,Science coverage seems limited.,Science,5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,,I'm not interested in this content,Very useful,Very useful,Very useful,Very useful,Slightly useful,I'm not interested in this content
12/09/2021 18:49:17,49d0ac24-9f78-44b0-a2ac-3160a5b59cb3,"International relations and politics.  Your coverage is excellent, but fuller coverage would be always be welcome.  ",Politics,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,,I'm not interested in this content,Moderately useful,Not very useful,Slightly useful,Slightly useful,Not very useful,Not very useful
12/09/2021 18:05:26,061f6452-c394-4d14-a73f-6fca36a4ff68,"Your columnists are excellent - more from them.

Why am I paying for pages & pages of current prices for umpteen funds?  Hive it off & get those who need that data to subscribe.  Lower cost for many & lowering the price might encourage others to buy it.",Unknown,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,4,,I'm not interested in this content,Very useful,Very useful,Very useful,Very useful,Slightly useful,Very useful
12/09/2021 17:54:39,812aa137-68a0-4a0a-a99d-4f4077f6ceae,,,,,,,,,,,,,,,,,
12/09/2021 14:07:44,8ec09106-e385-4905-a23d-ecb07a23b759,You already cover well all the areas I am interested in,Unknown,5 - Excellent,5 - Excellent,4,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,5 - Excellent,,I'm not interested in this content,Extremely useful,I'm not interested in this content,Extremely useful,Extremely useful,I'm not interested in this content,I'm not interested in this content
12/09/2021 08:15:39,c09fff1a-1c87-44f0-9ae2-0edab672d5d0,,,5 - Excellent,4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,4,,Slightly useful,Moderately useful,Moderately useful,Very useful,Very useful,Slightly useful,Not very useful
11/09/2021 22:14:39,faf3cede-008b-4a3b-af12-03a63c439293,Resources,Unknown,4,4,I haven't encountered / do not use these,4,3,3,4,,Slightly useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Slightly useful,Not very useful
11/09/2021 16:13:14,6429bae2-e3a5-46ec-8872-74130cfe94fc,More analysis of sport and guest content from business leaders,Sport,4,3,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,,Very useful,Slightly useful,Moderately useful,Very useful,Moderately useful,I'm not interested in this content,Moderately useful
11/09/2021 11:00:58,77a657a9-b9ad-408d-af0d-de6dfb939f3e,The range of content is good now and need not change.,Unknown,3,5 - Excellent,4,I haven't encountered / do not use these,3,I haven't encountered / do not use these,4,,I'm not interested in this content,Moderately useful,Slightly useful,Moderately useful,Moderately useful,Slightly useful,I'm not interested in this content
10/09/2021 19:17:28,e10d2d14-fe03-4722-8b68-93ba8607c46b,More news from Europe and less from the USA,"Europe,US & Canada",5 - Excellent,5 - Excellent,4,4,4,I haven't encountered / do not use these,4,,I'm not interested in this content,,,,,,
10/09/2021 18:54:54,137eee23-c852-46d1-977b-252cc9272d06,"I'd like to see a consistent 2 sides of UK news.  Sometimes only 1 1/2 are provided.  

I'd like to see more quantitative comparative data between UK and other countries (not just EU) to assess our ""world ranking"" and highlight different systems of provision e.g. of public services.","UK,World",5 - Excellent,3,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,4,,Moderately useful,Very useful,Moderately useful,Very useful,Very useful,Slightly useful,Very useful
10/09/2021 18:51:57,a43c3f50-46dc-4ba7-8d59-ca0137da037f,"Commodity coverage has hugely improved but irritating as on any searching it goes back to standard subscription and I have to log in again.Would like to see more detailed analysis of why share prices of individual companies have performed over a sequence of years. Eg BASF,HSBC,AVIVA.SMURFIT KaPA.","Commodities,Companies",4,4,,,,,,,Moderately useful,Moderately useful,Extremely useful,Very useful,Very useful,Not very useful,Not very useful
10/09/2021 17:49:36,f8ed0276-5545-4dce-ad7f-d01b8ceeecbe,,,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,,I'm not interested in this content,Very useful,Very useful,Very useful,Very useful,Moderately useful,Moderately useful
10/09/2021 16:49:38,773bb8e6-efa8-4162-a831-bd46f5bfba6e,,,5 - Excellent,4,4,4,3,3,3,,Very useful,Very useful,Moderately useful,Very useful,Moderately useful,Moderately useful,Moderately useful
10/09/2021 16:45:38,9999d625-a498-429f-abaa-c3badf93c03b,"I found The FT very helpful when the topics of the day were polarising, such as Brexit and the Presidency of Donald Trump. I found that The FT did a good job of not becoming partisan. However, I find that it doesn't venture into social affairs as much as it could -- an area where a grown-up, neutral voice would be helpful. ","Climate / Environment,Society",4,3,3,4,3,I haven't encountered / do not use these,2,,I'm not interested in this content,Moderately useful,Very useful,Moderately useful,Moderately useful,I'm not interested in this content,Moderately useful
10/09/2021 16:40:21,4190c00a-843f-488c-a1d6-ce48c0eb702c,,,5 - Excellent,,,,,,,,,,,,,,
10/09/2021 15:31:34,5a08f893-f7b1-46bf-b0da-b79fe3b572d3,,,4,2,5 - Excellent,5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,,Slightly useful,Very useful,Very useful,Very useful,Very useful,Very useful,Moderately useful
10/09/2021 13:55:10,64826867-9243-44a9-9ac5-24bd614f9562,"I love the food for thought articles in the week-end FT. 
",Food & Drink,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,,Very useful,Very useful,Very useful,Very useful,Very useful,Moderately useful,I'm not interested in this content
10/09/2021 13:24:14,72fc1685-783f-46ab-bdcf-e40912997222,I'm happy with the content published ,Unknown,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,,Moderately useful,Very useful,Moderately useful,Extremely useful,Slightly useful,Slightly useful,Slightly useful
10/09/2021 11:24:11,01df64e5-99b3-4cae-8bca-7fc8cadbb1ac,"I work in executive search within real estate so this is my focus, which you cover pretty well!",Unknown,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,,Very useful,Very useful,Moderately useful,Moderately useful,Moderately useful,I'm not interested in this content,Slightly useful
10/09/2021 10:44:44,4811dda8-a7e2-490d-a2d1-c0c910a061c9,,,4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,5 - Excellent,,I'm not interested in this content,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful
10/09/2021 09:29:42,ae26afc5-cc24-41c5-9942-48bdb1c41dab,"Investigative journalism/the exposure of corrupt practices, especially within government. The FT's coverage of the Greensill scandal was both very interesting and highly necessary. ",Unknown,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,4,,I'm not interested in this content,Very useful,I'm not interested in this content,I'm not interested in this content,Very useful,I'm not interested in this content,I'm not interested in this content
10/09/2021 08:14:21,,,,,,,,,,,,,,,,,,
10/09/2021 07:36:38,fa1aa65e-f4f8-4a52-9d93-e7440d256b62,"macroeconomics and central banks' understanding of it
",Banks,4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,4,,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content
10/09/2021 07:26:21,1a825845-743d-4867-a97a-2e6101c0052f,,,5 - Excellent,3,,,,,,,Very useful,,,,,,
10/09/2021 06:19:24,c7c4ea37-48cc-4476-99ca-09bd56235817,Fintech,Fintech,5 - Excellent,5 - Excellent,,,,,,,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Slightly useful,Slightly useful
10/09/2021 05:29:57,3045727b-d44a-4d56-b7b2-dc2b2df6d4cf,"The energy transition on the ground, not from the platform. Utterly over listening to speakers wave their hands about the potential and fail to address facts on ground.","Climate / Environment,Energy sector",4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,3,4,,Moderately useful,Very useful,Slightly useful,Moderately useful,Very useful,Slightly useful,I'm not interested in this content
10/09/2021 05:12:18,ad61727c-82c1-437f-b8a9-dd10277e0a6c,"Indian business, stock market, mutual funds, Indian classical music.

South India","Financial markets,Music",4,4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,4,5 - Excellent,,I'm not interested in this content,Very useful,Moderately useful,Very useful,Very useful,Very useful,I'm not interested in this content
10/09/2021 04:53:56,10f70b1e-03c6-48aa-a2e8-23a8e7d98391,Asia Pacific news.,Asia,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,,Slightly useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Not very useful
10/09/2021 04:33:25,02e4af6c-9b57-4c93-8762-3e3433e1cad9,,,4,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,,I'm not interested in this content,Very useful,Very useful,Very useful,Moderately useful,I'm not interested in this content,I'm not interested in this content
10/09/2021 02:59:10,c5d915fc-6224-4d74-bb5f-0774622398d4,Political analysis,Politics,4,5 - Excellent,4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,4,,Slightly useful,Moderately useful,Very useful,Moderately useful,Slightly useful,Not very useful,I'm not interested in this content
10/09/2021 01:43:21,bb74768a-b787-4bf9-b218-1db34a59821e,Business,Unknown,5 - Excellent,5 - Excellent,4,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,,Extremely useful,Moderately useful,Very useful,Extremely useful,Very useful,Moderately useful,Not very useful
10/09/2021 01:20:51,a1f317b8-37ff-4818-b17f-cbecfd5c696d,,,5 - Excellent,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,4,I haven't encountered / do not use these,I haven't encountered / do not use these,,Moderately useful,Slightly useful,Moderately useful,Moderately useful,Slightly useful,Moderately useful,Moderately useful
10/09/2021 01:08:13,2f9021a0-5ae0-4941-a756-6c04cd0db5c5,,,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,3,I haven't encountered / do not use these,,Very useful,Extremely useful,Not very useful,Not very useful,Not very useful,I'm not interested in this content,I'm not interested in this content
10/09/2021 00:48:57,59ad73c9-4a1c-4a0b-a601-3e59504dca6b,Fine as is,Unknown,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,,I'm not interested in this content,Very useful,Very useful,Very useful,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content
09/09/2021 22:44:21,4829fddd-9452-48e2-a130-c5a0db6411f8,"Experienced, deep, insight into markets and the economy. Oftentimes it seems the FT has lost its focus and become distracted with social agendas. FT writers, say 15 years ago, seemed to offer more insight from savvy hedge fund managers with non-mainstream thinking.","Climate / Environment,Economy,Financial markets,Society",3,4,3,3,I haven't encountered / do not use these,I haven't encountered / do not use these,4,,Moderately useful,I'm not interested in this content,Extremely useful,I'm not interested in this content,Moderately useful,Moderately useful,Not very useful
09/09/2021 21:50:10,da47fefe-374a-46ca-96d1-87e48e20d884,"Lunch with the FT
Fashion
Art
Merryn Somerset Webb Investing","Arts,Fashion,Investments",5 - Excellent,5 - Excellent,5 - Excellent,,,,,,,,,Very useful,Very useful,Very useful,Very useful
09/09/2021 21:42:45,5f5c65a3-e1a4-4c83-8f3c-c6038b735c6f,"Climate change, biodiversity and other aspects of our ecological crisis; exploring options for mitigating and adapting.",Climate / Environment,4,4,2,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,,Not very useful,Slightly useful,Moderately useful,Extremely useful,Extremely useful,Moderately useful,Moderately useful
09/09/2021 21:35:12,794aa202-300d-44b9-a583-a2ef2291a0d0,,,5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,4,4,5 - Excellent,,Very useful,Very useful,Very useful,Extremely useful,Extremely useful,Very useful,Moderately useful
09/09/2021 21:28:24,b50abaa6-cb07-41d6-9a12-1800548ca15f,-,Unknown,5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,4,,Very useful,Very useful,Moderately useful,Moderately useful,Slightly useful,Moderately useful,Moderately useful
09/09/2021 21:17:11,e7caecd3-3fad-4110-ba69-992528789ad4,Medical devices,Health,5 - Excellent,5 - Excellent,2,3,I haven't encountered / do not use these,4,4,,I'm not interested in this content,Very useful,Moderately useful,Very useful,Moderately useful,I'm not interested in this content,Extremely useful
09/09/2021 20:46:46,a665ef50-06d3-4244-ae16-b4dca633fff6,,,5 - Excellent,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,,I'm not interested in this content,Very useful,Moderately useful,Very useful,Very useful,I'm not interested in this content,Moderately useful
09/09/2021 20:39:24,60043115-4580-4a19-8bde-8f657a6f774d,"Deliver the paper to me.
Continuous delivery issues",Unknown,4,5 - Excellent,,,,,,,Very useful,,,,,,
09/09/2021 19:59:29,652e192a-e9bb-4935-999c-7bea03540a0e,.,Unknown,5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,5 - Excellent,,I'm not interested in this content,Very useful,Very useful,Very useful,Extremely useful,I'm not interested in this content,I'm not interested in this content
09/09/2021 19:39:51,83f61f86-2749-4fe0-86ca-17e2ee624cd3,"Telecom, corporate governance, venture capital ",Climate / Environment,5 - Excellent,4,5 - Excellent,3,5 - Excellent,4,5 - Excellent,,Extremely useful,Moderately useful,Slightly useful,Slightly useful,Slightly useful,Moderately useful,Not very useful
09/09/2021 19:32:27,f4a74bfa-5aca-49ef-a04b-ed5affd4beb0,"macroeconomics, global",World,5 - Excellent,2,2,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,4,,Not very useful,Not very useful,Moderately useful,Very useful,Very useful,Extremely useful,I'm not interested in this content
09/09/2021 19:20:16,9481951a-e33a-484a-8573-44157b905737,"Emerging markets, Innovation in services industries","Emerging markets,Financial markets,Innovation",5 - Excellent,4,4,4,4,4,4,,Slightly useful,Very useful,Very useful,Very useful,Very useful,Moderately useful,I'm not interested in this content
09/09/2021 19:19:06,eb1d8ad6-c965-4a52-80ea-5c8e6c8cc6ad,,,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,5 - Excellent,,Very useful,Moderately useful,Moderately useful,Moderately useful,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content
09/09/2021 19:16:12,7be7ceab-25d6-477c-9bc7-b1b925d2fb40,Differentes between regions or countries. Video that can be shared.,Unknown,5 - Excellent,4,4,4,5 - Excellent,3,5 - Excellent,,Moderately useful,Very useful,Very useful,Extremely useful,Very useful,Very useful,Slightly useful
09/09/2021 19:03:10,0957f97a-10f0-4ad3-8a7b-898793768f7d,"Most are well covered. Perhaps there are too many and selection is not always simple, as you can always miss something of interest.",Unknown,4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,3,,Slightly useful,Not very useful,Moderately useful,Slightly useful,Slightly useful,Slightly useful,Slightly useful
09/09/2021 18:54:25,5db15e60-06be-4f05-8061-0622a38de2ee,Marketing and merchandising,Unknown,5 - Excellent,4,3,4,4,3,5 - Excellent,,Very useful,Extremely useful,Extremely useful,Very useful,Very useful,Moderately useful,Slightly useful
09/09/2021 18:51:52,ec21dcb8-f7f2-4c48-a11c-d8d9107d5809,,,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,,Very useful,Very useful,Moderately useful,Very useful,Moderately useful,Moderately useful,Moderately useful
09/09/2021 18:21:57,18e66b72-cb03-4ec3-9e8e-99f6fcf75735,construction industry; Central Eastern Europe; Austria & Vienna,"Construction,Europe",4,4,,,,,,,,,,,,,
09/09/2021 18:03:29,58d6b33c-5636-4b90-9be9-b34618fa4f93,"Fin Tech, Digital Currency, Banking, Technological developments, and the aforesaid in relation to the Global/International situation
","Banks,Currencies,Technology,World",3,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,5 - Excellent,,Moderately useful,Slightly useful,Moderately useful,Not very useful,Very useful,Very useful,Not very useful
09/09/2021 18:02:57,8cbc367e-99b0-4a02-a939-6481184c1579,Culture,Unknown,4,4,3,I haven't encountered / do not use these,3,I haven't encountered / do not use these,4,,Moderately useful,Very useful,Moderately useful,Very useful,Very useful,Very useful,Moderately useful
09/09/2021 17:51:07,13f25890-4755-4057-b827-bb12278f49ba,"Arts/culture, textiles, esp current/future state of fashion and environment protection, home/garden
Lunches with FT type interviewing
Of industry heads, leaders/thinkers on climate, Nobel worthy environmentalists, economists, scientists, esp in vaccines research going forward from covid-19 and variants. ","Fashion,House & Home,Health,Climate / Environment,Gardens,Arts",5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,5 - Excellent,,Slightly useful,Very useful,Moderately useful,Very useful,Very useful,Very useful,Slightly useful
09/09/2021 17:25:15,d96d3670-5ba7-4748-9e3e-394e12d89d29,Business Economics (from both macro and micro perspectives),Economy,5 - Excellent,4,3,3,3,2,4,,Very useful,Very useful,Moderately useful,Very useful,Moderately useful,Slightly useful,Slightly useful
09/09/2021 17:09:08,7e3cfa5a-b95f-466b-8fd0-fe7feecb4713,"Objective views of developments in the DeFi space (beyond just ""it's a scam"" - which much of it is)",Aerospace,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,4,4,5 - Excellent,,I'm not interested in this content,Very useful,Very useful,Very useful,Very useful,Moderately useful,Very useful
09/09/2021 17:07:34,05f95d6f-1265-481f-a0d3-7cb5b669ad17,"Legal issues. EU - International Law - US Constitutional Law

Books : Politics - Crime Fiction

Sport : Football","US & Canada,Law,Sport,Politics,Crime",5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,5 - Excellent,,Slightly useful,Very useful,Very useful,Moderately useful,Moderately useful,Not very useful,Extremely useful
09/09/2021 17:00:20,6b6ca375-ef56-440f-90b6-0937d0f7426e,"Coverage of Board agendas, board directorship, governance, cybersecurity and ""gray RHINO"" type of challenges which companies keep missing or kicking down the road","Climate / Environment,Companies",4,4,I haven't encountered / do not use these,2,4,I haven't encountered / do not use these,5 - Excellent,,Extremely useful,Extremely useful,Very useful,Extremely useful,Very useful,Extremely useful,Slightly useful
09/09/2021 16:58:40,81a773ae-5001-4021-8a87-3367b339bb4d,I think you have a good balance.,Unknown,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,5 - Excellent,,I'm not interested in this content,Very useful,Very useful,Very useful,Very useful,Very useful,I'm not interested in this content
09/09/2021 16:55:04,8cebb528-ae53-413f-ba30-0c8b85d9ba6b,"Economic drivers of change
Relationship between economic and social changes, 
People's expectations, inequalities shaping challenges
data shaping public debates
...","Climate / Environment,Economy,Society",5 - Excellent,3,I haven't encountered / do not use these,I haven't encountered / do not use these,4,3,5 - Excellent,,I'm not interested in this content,Moderately useful,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content,I'm not interested in this content
09/09/2021 16:52:40,d860d8df-98bd-4a75-93e1-484605ce77ea,"The areas of my interest are all well covered. The unlikely style modification I would welcome would be for the FT to use the classical English - since we, who use English as a learned and not mother toungue language, are not taught idiomatic expressions, thus these require from us a substantial effort to grasp what the writer meant.","Style,US & Canada",5 - Excellent,3,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,5 - Excellent,,Moderately useful,I'm not interested in this content,Moderately useful,I'm not interested in this content,Moderately useful,I'm not interested in this content,I'm not interested in this content
09/09/2021 16:51:20,54d365f5-7462-4d09-8914-6cf49308e970,,,4,4,3,3,2,1 - Poor,4,,Moderately useful,Moderately useful,Very useful,Slightly useful,Slightly useful,Slightly useful,Not very useful
09/09/2021 16:38:16,f51ecc1c-74c4-4e27-af4e-ba05b2a5040e,Economic outcomes of the crisis and recovery.,Economy,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,,I'm not interested in this content,Slightly useful,Slightly useful,Very useful,Slightly useful,I'm not interested in this content,I'm not interested in this content
09/09/2021 16:38:09,2a6aebeb-920a-4028-b20d-5990f14bac6f,"Nothing particular comes to mind, but I really do think that the FT for me is a wholly education and knowlege experience",Education,5 - Excellent,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,5 - Excellent,,I'm not interested in this content,Moderately useful,Moderately useful,Very useful,Very useful,I'm not interested in this content,I'm not interested in this content
09/09/2021 16:28:45,ad67a403-33ff-425b-8465-13046b3a216e,,,,,,,,,,,,,,,,,
09/09/2021 16:28:20,f3b2b00e-6862-43d9-9347-804431c09cc1,European Economy,"Economy,Europe",4,4,2,3,I haven't encountered / do not use these,I haven't encountered / do not use these,4,,I'm not interested in this content,Slightly useful,Very useful,Moderately useful,Very useful,Very useful,Not very useful
